stock,strike,maturity,spot,vol,div_yield,price,delta,gamma,theta,vega,moneyness
MCD,160.0,0.8,250.0,0.15,0.025,87.59268786649238,0.9798217557702583,4.071429601208167e-05,0.0080767225004361,0.003053572200906125,0.64
MCD,160.0,0.9,250.0,0.15,0.025,87.2993593317205,0.9770205248320726,7.07979400627394e-05,0.007993104222103798,0.005973576192793636,0.64
MCD,160.0,1.0,250.0,0.15,0.025,87.00939906695262,0.9740646254399361,0.00010954615827802106,0.00789244964547874,0.010269952338564474,0.64
MCD,170.0,0.1,250.0,0.15,0.025,79.71544082591836,0.9975031223974599,1.3328440598343612e-16,0.007784075943876981,1.2495413060947135e-15,0.68
MCD,170.0,0.2,250.0,0.15,0.025,79.43176162082094,0.9950124751958905,1.4137293277839727e-09,0.007759999540774927,2.650742489594949e-08,0.68
MCD,170.0,0.30000000000000004,250.0,0.15,0.025,79.14896467941409,0.992526866765859,2.8418794783843696e-07,0.007735446732588442,7.992786032956042e-06,0.68
MCD,170.0,0.4,250.0,0.15,0.025,78.86714656975994,0.9900286257789088,3.856710843574382e-06,0.0077045670241286226,0.00014462665663403935,0.68
MCD,170.0,0.5,250.0,0.15,0.025,78.58678105878278,0.9874559170379462,1.7962268048683152e-05,0.0076532213637023495,0.0008419813147820228,0.68
MCD,170.0,0.6,250.0,0.15,0.025,78.30887263708112,0.9847160890223021,4.921854889337069e-05,0.0075683993748735575,0.0027685433752521016,0.68
MCD,170.0,0.7000000000000001,250.0,0.15,0.025,78.03475290744265,0.9817264482851804,9.98400089522645e-05,0.0074456249649610074,0.006552000587492358,0.68
MCD,170.0,0.8,250.0,0.15,0.025,77.76576557153788,0.9784376361560556,0.00016807947371598838,0.0072881684292308855,0.012605960528699127,0.68
MCD,170.0,0.9,250.0,0.15,0.025,77.50304977714458,0.9748349959180336,0.0002501395441509116,0.007103357187559791,0.021105524037733168,0.68
MCD,170.0,1.0,250.0,0.15,0.025,77.24745124763328,0.9709299410499598,0.0003417228897581914,0.006899554916175033,0.032036520914830446,0.68
MCD,180.0,0.1,250.0,0.15,0.025,69.73542083924832,0.9975031223954858,1.178335063954208e-12,0.007237225531372076,1.10468912245707e-11,0.72
MCD,180.0,0.2,250.0,0.15,0.025,69.47168313101449,0.9950120390325892,1.3398578273914554e-07,0.0072139849387877755,2.5122334263589787e-06,0.72
MCD,180.0,0.30000000000000004,250.0,0.15,0.025,69.20891510620376,0.9924993255375709,5.938805508855728e-06,0.007179799277870204,0.00016702890493656739,0.72
MCD,180.0,0.4,250.0,0.15,0.025,68.94818109826858,0.9898099103455962,3.7845219108965415e-05,0.007094838603318838,0.0014191957165862034,0.72
MCD,180.0,0.5,250.0,0.15,0.025,68.69201234633161,0.9867046680773303,0.00011198901299815639,0.006927339197969771,0.005249484984288582,0.72
MCD,180.0,0.6,250.0,0.15,0.025,68.44346488636631,0.9830225560872947,0.00022678965932739888,0.006679961681155799,0.012756918337166188,0.72
MCD,180.0,0.7000000000000001,250.0,0.15,0.025,68.20507641885479,0.9787259795154921,0.0003706800364019693,0.006374998910072128,0.02432587738887924,0.72
MCD,180.0,0.8,250.0,0.15,0.025,67.97848191892538,0.9738634878630159,0.0005307125675220235,0.006037648559365354,0.03980344256415176,0.72
MCD,180.0,0.9,250.0,0.15,0.025,67.76446773713116,0.9685244329879159,0.0006963225550657569,0.005688611231361391,0.05875221558367324,0.72
MCD,180.0,1.0,250.0,0.15,0.025,67.56317449813668,0.9628087754863186,0.0008600603217469232,0.005342587796143361,0.08063065516377406,0.72
MCD,190.0,0.1,250.0,0.15,0.025,59.75540085907744,0.9975031190664975,1.6747494845468902e-09,0.006690371886182027,1.5700776417627097e-08,0.76
MCD,190.0,0.2,250.0,0.15,0.025,59.511675789779105,0.9949927690467788,5.089328765988104e-06,0.006658619295384851,9.542491436227696e-05,0.76
MCD,190.0,0.30000000000000004,250.0,0.15,0.025,59.270679973569145,0.9921456560993412,6.744366113370857e-05,0.006515546151673753,0.0018968529693855543,0.76
MCD,190.0,0.4,250.0,0.15,0.025,59.03861280669969,0.9883124744144828,0.00023500287846905035,0.006166921781448069,0.008812607942589389,0.76
MCD,190.0,0.5,250.0,0.15,0.025,58.82246041538491,0.9831960162962251,0.00048409394288783986,0.005657714178314979,0.022691903572867496,0.76
MCD,190.0,0.6,250.0,0.15,0.025,58.62648739399762,0.9769087449176508,0.0007700262482246129,0.005074632803408454,0.04331397646263448,0.76
MCD,190.0,0.7000000000000001,250.0,0.15,0.025,58.45209897569575,0.9697261364534624,0.00105918773088093,0.004483447333712575,0.06950919483906105,0.76
MCD,190.0,0.8,250.0,0.15,0.025,58.29882653239571,0.9619329044477006,0.0013324524333625822,0.003921950805478012,0.09993393250219366,0.76
