spot,time,delta,gamma,theta
82.72727272727273,1.462820512820513,0.3296294549108353,0.014344230415019194,-0.008896181503418237
82.72727272727273,1.5,0.33322409049589913,0.014222063624702753,-0.008826157091704756
83.63636363636364,0.05,0.0007894240381161042,0.0005794557046628245,-0.0003487851481896928
83.63636363636364,0.08717948717948718,0.008836576931484848,0.0038739997375139756,-0.0023393723740694396
83.63636363636364,0.12435897435897436,0.024464249234636602,0.007782068164498345,-0.004713049245514933
83.63636363636364,0.16153846153846152,0.043371595792388126,0.01094549901667067,-0.0066466655985894536
83.63636363636364,0.19871794871794873,0.0629003264123825,0.013254552184677266,-0.00806878380801791
83.63636363636364,0.2358974358974359,0.08184281547678567,0.014884332476665254,-0.009081850472477438
83.63636363636364,0.27307692307692305,0.09972324165538989,0.016017564876510248,-0.009794470125793858
83.63636363636364,0.31025641025641026,0.11640169536973802,0.016795029374624144,-0.010290824477319554
83.63636363636364,0.3474358974358974,0.13188694474557391,0.017317557243861213,-0.010631457526515472
83.63636363636364,0.3846153846153846,0.14624978961092777,0.017656139508300382,-0.010859146322728734
83.63636363636364,0.4217948717948718,0.15958297669698557,0.017860846754569816,-0.011004162275540913
83.63636363636364,0.45897435897435895,0.17198281783063624,0.01796730661557819,-0.01108811612327076
83.63636363636364,0.4961538461538461,0.18354107485763865,0.018001156057723,-0.011126611161366559
83.63636363636364,0.5333333333333333,0.1943417470729916,0.017981059540350335,-0.011131047181444243
83.63636363636364,0.5705128205128206,0.20446019019617387,0.017920758879615226,-0.011109848736646699
83.63636363636364,0.6076923076923078,0.21396331323036966,0.01783047740273686,-0.011069308406921106
83.63636363636364,0.6448717948717949,0.22291023625121914,0.017717892726623736,-0.011014172248844075
83.63636363636364,0.6820512820512821,0.23135310640907178,0.017588819004868864,-0.010948051244868645
83.63636363636364,0.7192307692307692,0.23933792689382477,0.017447691359848923,-0.010873714053751324
83.63636363636364,0.7564102564102565,0.24690533312668086,0.017297914005465653,-0.010793297820296373
83.63636363636364,0.7935897435897437,0.25409129049247686,0.01714211328897669,-0.010708461728040136
83.63636363636364,0.8307692307692308,0.26092770773604856,0.016982323610337233,-0.010620500061391045
83.63636363636364,0.867948717948718,0.26744296951071417,0.016820125406131918,-0.01053042630173888
83.63636363636364,0.9051282051282051,0.27366239555344296,0.016656748522277807,-0.010439036272767967
83.63636363636364,0.9423076923076923,0.27960863521952933,0.016493150335134796,-0.010346955973744075
83.63636363636364,0.9794871794871796,0.2853020060327233,0.016330075268578634,-0.010254678111578529
83.63636363636364,1.0166666666666666,0.2907607842256209,0.016168100478175133,-0.010162590214606571
83.63636363636364,1.0538461538461539,0.29600145433845443,0.01600767116107992,-0.010070996421053935
83.63636363636364,1.0910256410256411,0.30103892400285953,0.015849128022540737,-0.009980134476052544
83.63636363636364,1.1282051282051282,0.305886709151114,0.015692728767517917,-0.009890189071370108
83.63636363636364,1.1653846153846155,0.31055709409816745,0.015538665008533785,-0.009801302373557128
83.63636363636364,1.2025641025641025,0.3150612702536884,0.015387075633648021,-0.009713582376144055
83.63636363636364,1.2397435897435898,0.3194094566311056,0.015238057423761983,-0.009627109557222457
83.63636363636364,1.276923076923077,0.32361100482102706,0.015091673520106588,-0.009541942209485933
83.63636363636364,1.314102564102564,0.3276744906762122,0.014947960202409743,-0.009458120724544505
83.63636363636364,1.3512820512820514,0.33160779460312756,0.01480693233287942,-0.009375671049235574
83.63636363636364,1.3884615384615384,0.33541817206053365,0.014668587741502684,-0.009294607483143437
83.63636363636364,1.4256410256410257,0.339112315619257,0.014532910767574495,-0.009214934949578875
83.63636363636364,1.462820512820513,0.3426964097313143,0.0143998751259888,-0.009136650843933525
83.63636363636364,1.5,0.3461761791841,0.014269446231108868,-0.009059746541470282
84.54545454545455,0.05,0.0015065270182551657,0.0010365218130401516,-0.0006377111327702286
84.54545454545455,0.08717948717948718,0.013008650427196603,0.005366427606329603,-0.003312765904971807
84.54545454545455,0.12435897435897436,0.03240159661211477,0.009726996947258218,-0.006022761901472774
84.54545454545455,0.16153846153846152,0.05421663363909948,0.012942758278125417,-0.008036005157053749
84.54545454545455,0.19871794871794873,0.07579889101313628,0.015138369696083342,-0.009423143630728577
84.54545454545455,0.2358974358974359,0.09615073072890193,0.016600408978207505,-0.010357647028725634
84.54545454545455,0.27307692307692305,0.11498407250697684,0.017557904969934635,-0.010979291060351904
84.54545454545455,0.31025641025641026,0.13229560656056638,0.01816956111651116,-0.01138538562697204
84.54545454545455,0.3474358974358974,0.14818879153182996,0.018542162238551572,-0.011641654855785409
84.54545454545455,0.3846153846153846,0.16279961972176007,0.018747683973141558,-0.01179255526386496
84.54545454545455,0.4217948717948718,0.17626604375951957,0.01883521363905657,-0.011868513221123705
84.54545454545455,0.45897435897435895,0.18871609878011217,0.01883872289872113,-0.011890662699836638
84.54545454545455,0.4961538461538461,0.2002641033613547,0.01878207323141696,-0.011873905417068275
84.54545454545455,0.5333333333333333,0.21101030361900872,0.018682258961332267,-0.011828898523639398
84.54545454545455,0.5705128205128206,0.221041898190612,0.01855153588516676,-0.01176336229401288
84.54545454545455,0.6076923076923078,0.23043452252468363,0.018398840132484596,-0.011682953717139828
84.54545454545455,0.6448717948717949,0.23925378832695277,0.018230749042400143,-0.011591859400121954
84.54545454545455,0.6820512820512821,0.24755671183157477,0.018052142006448644,-0.011493204231794259
84.54545454545455,0.7192307692307692,0.2553929737642826,0.01786666165526805,-0.011389337215537528
84.54545454545455,0.7564102564102565,0.2628060028625357,0.017677040132343513,-0.011282034149626446
84.54545454545455,0.7935897435897437,0.26983389541512576,0.01748533285759189,-0.011172643185147319
84.54545454545455,0.8307692307692308,0.27651019055346626,0.017293087973534977,-0.011062190596211148
84.54545454545455,0.867948717948718,0.2828645222039336,0.017101470492606734,-0.010951458474828858
84.54545454545455,0.9051282051282051,0.2889231671808274,0.016911354153257608,-0.010841042373716718
84.54545454545455,0.9423076923076923,0.29470950652772393,0.016723389997725383,-0.010731394465077352
84.54545454545455,0.9794871794871796,0.30024441467419355,0.016538057993050758,-0.010622856127013375
84.54545454545455,1.0166666666666666,0.3055465886007985,0.016355706180237677,-0.01051568273725857
