scenario,spot,strike,maturity,vol,price,delta,gamma,theta,vega,moneyness
Normal,100,80,0.1,0.15,20.15984096259625,0.9999990796013136,9.632923157538398e-07,-0.004375095096811575,1.4449384736307596e-06,0.8
Normal,100,80,0.25,0.15,20.401203875362967,0.9989629588521427,0.0004641805804687982,-0.004498964809588399,0.0017406771767579934,0.8
Normal,100,80,0.5,0.15,20.842341915556602,0.9878113947677586,0.002984832531047898,-0.005190601673882942,0.022386243982859235,0.8
Normal,100,80,1.0,0.15,21.877281548959502,0.9550529889784498,0.006313129149558374,-0.005980239387131579,0.0946969372433756,0.8
Normal,100,90,0.1,0.15,10.198131029661837,0.9889042912165145,0.006151536919225725,-0.006755873603432017,0.009227305378838589,0.9
Normal,100,90,0.25,0.15,10.67067092040574,0.9343472278650093,0.01703743786140456,-0.009786281634876486,0.06389039198026711,0.9
Normal,100,90,0.5,0.15,11.598866812087408,0.8729947763897912,0.019624618061933368,-0.01019666232467216,0.1471846354645003,0.9
Normal,100,90,1.0,0.15,13.368920769095794,0.8187829576935421,0.017567415808270117,-0.00916855281763166,0.2635112371240518,0.9
Normal,100,100,0.1,0.15,1.9918614701306652,0.5262636304896575,0.08392209703555394,-0.028640893008428817,0.1258831455533309,1.0
Normal,100,100,0.25,0.15,3.2399075996919393,0.5414814569115567,0.05290449876225023,-0.019095673623513495,0.19839187035843836,1.0
Normal,100,100,0.5,0.15,4.724578170995322,0.5585578742493529,0.03720672187465185,-0.014269535331444197,0.2790504140598889,1.0
Normal,100,100,1.0,0.15,6.9618416445541556,0.5825156468205225,0.026025196262690824,-0.010831860384390901,0.39037794394036235,1.0
Normal,100,110,0.1,0.15,0.046050448001184296,0.025981857323863267,0.012725282791538029,-0.004062019232152687,0.01908792418730704,1.1
Normal,100,110,0.25,0.15,0.43627567703665804,0.12167875370683928,0.026934130148257487,-0.008944442837128528,0.10100298805596558,1.1
Normal,100,110,0.5,0.15,1.3193726996811463,0.22624235831017897,0.02836426297786311,-0.0099097995825653,0.21273197233397334,1.1
Normal,100,110,1.0,0.15,3.066467560218225,0.33466494889862164,0.02427806004896734,-0.00914871863589508,0.36417090073451014,1.1
Normal,100,120,0.1,0.15,8.778426221798565e-05,7.911147776862304e-05,6.695002044606512e-05,-2.106395772732935e-05,0.00010042503066909769,1.2
Normal,100,120,0.25,0.15,0.024800264682883544,0.009988291042002273,0.0035499867361354575,-0.0011475454372755778,0.013312450260507966,1.2
Normal,100,120,0.5,0.15,0.2531963851596313,0.05801816810252858,0.010938945219538405,-0.0036756267005477665,0.08204208914653804,1.2
