,Call_90_Jun,Call_110_Sep,Put_95_Dec,Call_100_Jun,Put_100_Sep,Forward
Delta,43.41471656347879,-9.18103762149261,13.408694149593465,0.5290891977058643,0.5418962347603572,0.9950124791926823
Gamma,1.052453999311484,-0.6746300275447786,0.4580414282546475,0.03778944825266607,0.024254866564857126,0.0
Theta,-0.6658367785147741,0.46781611792697486,-0.22990106351090142,-0.024043074603972408,-0.01869488360543444,-0.002698869009056586
